Designator,Comment,Description,Footprint,Quantity,Value
IND3,LTST-C171TBKT,LED,805,1,
"C1, C3, C8, C11, C12, C16, C17, C20, C21, C23, C27, C28, C29, C33, C34, C35, C39",GRM155R71A104KA01D,"-55-125C, 1005, 10V, X7R, ±10%",402,17,0.1u
C2,GRM155R71H102KA01J,"-55-125C, 1005, 50V, X7R, ±10%",402,1,1000p
"C4, C18",GRM32ER71H106KA12L,"-55-125C, 1005, 50V, X7R, ±10%",1210,2,10u
C5,GRM188R71A225KE15D,"-55-125C, 1608, 10V, X7R, ±10%",603,1,2.2u
"C6, C7, C22, C26, C31, C38",GRM155R71C103KA01D,"Cap, 0.01 µF, 16 V, X7R",402,6,0.01 µF
"C9, C30, C32",GRM188R71A105KA61J,"-55-125C, 1608, 10V, X7R, ±10%",603,3,1u
"C10, C14",GRM1555C1H240GA01D,Capacitor (Semiconductor SIM Model),402,2,24p
"C13, C24, C25, C36, C37",GRM31CR71H475KA12L,"-55-125C, 3216, 50V, X7R, ±10%",1206,5,4.7u
"C15, C19",GRM1555C1H330FA01D,Capacitor (Semiconductor SIM Model),402,2,33p
IND1,LTST-C171GKT,LED,805,1,
IND2,LTST-C171KSKT,LED,805,1,
J1,Header 3,"Header, 3-Pin",HDR1X3,1,
J2,47346-0001,"Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel",MOLX-47346-0001-5_V,1,
J3,S2B-PH-SM4-TB,JST Battery Connector,S2B-PH-SM4-TB,1,
J4,M50-3600542,,M50-3600542,1,
L1,MPZ1608S331A,"EMI Filter Beads, Chips & Arrays 0603 330ohms 100MHz Rdc 0.08ohms 1.7A",1608[0603],1,330 ohms
Q1,IRLML6401,MOSFET P-CH 12V 4.3A SOT-23,Micro3_N,1,
"R1, R4, R21, R24",CRCW04025K60FKEDHP,"0.125W, -55-155C, 1005, 50V, ±1%",402,4,5.6k
"R2, R14",CRCW040210K0FKEDHP,"0.125W, -55-155C, 1005, 50V, ±1%",402,2,10k
"R3, R5, R9, R10, R11, R12, R16, R18, R19, R22, R26, R27, R28, R31, R32, R33, R37, R38, R39, R42",CRCW040210K0FKED,"0.125W, -55-155C, 1005, 50V, ±1%",402,22,10k
"R7, R8, R13, R25, R40",CRCW0402560RFKEDHP,"0.125W, -55-155C, 1005, 50V, ±1%",402,5,560
"R15, R34",CRCW04021M00FKEDHP,"0.125W, -55-155C, 1005, 50V, ±1%",402,2,1M
" R6, R17, R36, BAT1, GND1, LDO1, TP1, TP2, USB1",DNP,"0.125W, -55-155C, 1005, 50V, ±1%",402,1,10k
"R20, R23",CRCW040233R0FKED,"0.125W, -55-155C, 1005, 50V, ±1%",402,2,33
"R29, R30",CRCW0402100KFKED,"0.125W, -55-155C, 1005, 50V, ±1%",402,2,100k
R35,CRCW04023K40FKED,"0.125W, -55-155C, 1005, 50V, ±1%",402,1,3.4k
R41,CRCW040256R0FKED,"0.125W, -55-155C, 1005, 50V, ±1%",402,1,56
"RESET1, SW1, WAKE1",KMR231GLFS,"Switch Tactile, SPST, 50 mA, 32 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel",KMR231GLFS,3,
RS1,WSL1206R1000FEA,Current Sense Resistors - SMD 1/4watt .1ohms 1%,C1206,1,0.1
SD1,2908-05WB-MG,"Card Connector Micro-SD, 500 VAC, 100 mOhm Min, 0.5 A, RoHS, Tape and Reel",3M-2908-05WB-MG_V,1,
SW2,PCM12SMTR,"Ultraminiature Slide Switch, SPDT, 0.3 A, 6 V, -20 to 85 degC, 3-Pin SMD, RoHS, Tape and Reel",CKCP-PCM12SMTR_V,1,
U1,FXOS8700CQR1,"6-Axis Xtrinsic Sensor with Integrated Linear Accelerometer and Magnetometer, 1.95 to 3.6 V, -40 to 85 degC, 16-Pin QFN, RoHS, Tape and Reel",FREE-QFN-16-3000X3000DE_V,1,
"U2, U10",TMP102AIDRLT,"Low Power Digital Temperature Sensor with SMBus and Two-Wire Serial Interface, 1.4 to 3.6 V, -40 to 125 degC, 6-Pin SOT (DRL), Green (RoHS & no Sb/Br), Tape and Reel",DRL0006A_L,2,
U3,TM4C123GH6PM,Tiva TM4C123GH6PM Microcontroller,QFP50P1200X1200X160-64N,1,
U4,SI7006-A20-IM1,"I2C Humidity and Temperature Sensor, 1.9 to 3.6 V, -40 to 125 degC, 6-Pin DFN, RoHS, Tube",SLAB-DFN-6-1500X2400TP_V,1,
U5,LT1965EDD-3.3#TRPBF,"1.1 A, Low Noise, Low Dropout Linear Regulator, 1.8 to 20 V Vin, 3.3 V Vout, 8-pin SON (DD-8), -40 to 125 degC, Pb-Free, Tape and Reel",LT-DD-8_V,1,
