Altium Designer Pick and Place Locations
C:\Users\brandon.dixon\Git\hubert\hardware\main\Project Outputs for 7797-20-0224\Pick Place for 7797-20-0224.csv

========================================================================================================================
File Design Information:

Date:       10/05/19
Time:       21:48
Revision:   b0c84aee3b6373c4f834b48c7dff6faf1c28e895
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R36","CRCW040210K0FKED","TopLayer","0402","1374.685","2632.637","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R37","CRCW040210K0FKED","TopLayer","0402","1375.000","2592.637","180","0.125W, -55-155C, 1005, 50V, ±1%"
"C38","GRM155R71C103KA01D","TopLayer","0402","1484.685","2622.637","180","Cap, 0.01 µF, 16 V, X7R"
"R42","CRCW040210K0FKED","TopLayer","0402","1574.685","2622.637","180","0.125W, -55-155C, 1005, 50V, ±1%"
"U10","TMP102AIDRLT","TopLayer","DRL0006A_L","1484.685","2552.637","180","Low Power Digital Temperature Sensor with SMBus and Two-Wire Serial Interface, 1.4 to 3.6 V, -40 to 125 degC, 6-Pin SOT (DRL), Green (RoHS & no Sb/Br), Tape and Reel"
"U2","TMP102AIDRLT","TopLayer","DRL0006A_L","292.559","2610.000","180","Low Power Digital Temperature Sensor with SMBus and Two-Wire Serial Interface, 1.4 to 3.6 V, -40 to 125 degC, 6-Pin SOT (DRL), Green (RoHS & no Sb/Br), Tape and Reel"
"R9","CRCW040210K0FKED","TopLayer","0402","382.559","2680.000","180","0.125W, -55-155C, 1005, 50V, ±1%"
"C7","GRM155R71C103KA01D","TopLayer","0402","292.559","2680.000","180","Cap, 0.01 µF, 16 V, X7R"
"R6","CRCW040210K0FKED","TopLayer","0402","182.874","2650.000","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R5","CRCW040210K0FKED","TopLayer","0402","182.559","2690.000","180","0.125W, -55-155C, 1005, 50V, ±1%"
"U6","APDS-9303","TopLayer","APDS-9303","1023.192","2560.748","180","APDS-9303"
"U4","SI7006-A20-IM1","TopLayer","SLAB-DFN-6-1500X2400TP_V","592.913","2580.630","180","I2C Humidity and Temperature Sensor, 1.9 to 3.6 V, -40 to 125 degC, 6-Pin DFN, RoHS, Tube"
"R17","DNP","TopLayer","0402","847.483","2563.268","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R18","CRCW040210K0FKED","TopLayer","0402","847.483","2611.496","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R28","CRCW040210K0FKED","TopLayer","0402","1148.743","2580.748","270","0.125W, -55-155C, 1005, 50V, ±1%"
"C28","GRM155R71A104KA01D","TopLayer","0402","1018.428","2690.119","360","-55-125C, 1005, 10V, X7R, ±10%"
"C17","GRM155R71A104KA01D","TopLayer","0402","593.427","2680.630","180","-55-125C, 1005, 10V, X7R, ±10%"
"SW1","KMR231GLFS","TopLayer","KMR231GLFS","210.000","2150.000","0","Switch Tactile, SPST, 50 mA, 32 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"C23","GRM155R71A104KA01D","TopLayer","0402","730.001","1496.999","270","-55-125C, 1005, 10V, X7R, ±10%"
"U3","TM4C123GH6PM","TopLayer","QFP50P1200X1200X160-64N","684.528","1929.409","270","Tiva TM4C123GH6PM Microcontroller"
"USB1","TP","TopLayer","TP_TH","790.001","430.000","90",""
"LDO1","TP","TopLayer","TP_TH","150.001","1405.001","90",""
"GND1","TP","TopLayer","TP_TH","150.001","1310.001","90",""
"BAT1","TP","TopLayer","TP_TH","1230.001","465.000","90",""
"J2","47346-0001","TopLayer","MOLX-47346-0001-5_V","957.972","132.362","0","Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"TP2","TP","TopLayer","TP_TH","1110.001","425.000","90",""
"TP1","TP","TopLayer","TP_TH","1110.001","320.000","90",""
"RS1","WSL1206R1000FEA","TopLayer","C1206","1020.001","371.497","270","Current Sense Resistors - SMD 1/4watt .1ohms 1%"
"L1","MPZ1608S331A","TopLayer","1608[0603]","865.001","340.000","90","EMI Filter Beads, Chips & Arrays 0603 330ohms 100MHz Rdc 0.08ohms 1.7A"
"U1","FXOS8700CQR1","TopLayer","FREE-QFN-16-3000X3000DE_V","239.213","1085.315","0","6-Axis Xtrinsic Sensor with Integrated Linear Accelerometer and Magnetometer, 1.95 to 3.6 V, -40 to 85 degC, 16-Pin QFN, RoHS, Tape and Reel"
"U5","LT1965EDD-3.3#TRPBF","TopLayer","LT-DD-8_V","650.001","775.000","0","1.1 A, Low Noise, Low Dropout Linear Regulator, 1.8 to 20 V Vin, 3.3 V Vout, 8-pin SON (DD-8), -40 to 125 degC, Pb-Free, Tape and Reel"
"SD1","2908-05WB-MG","TopLayer","3M-2908-05WB-MG_V","380.985","364.921","180","Card Connector Micro-SD, 500 VAC, 100 mOhm Min, 0.5 A, RoHS, Tape and Reel"
"Y1","CC7V-T1A-32.768kHz-12.5pF-20PPM-TC-QC","TopLayer","CC7V-T1A","405.000","1290.001","360","Crystals 32.768 kHz 12.5 pF +/-20 PPM -55/+125C"
"Y2","ECS-160-20-30B-DU","TopLayer","ECX-53B","600.000","1309.999","90","Crystal, 16.000MHz, 20pF, 100ppm, -55 to 125 C, 60 O"
"WAKE1","KMR231GLFS","TopLayer","KMR231GLFS","855.000","560.000","180","Switch Tactile, SPST, 50 mA, 32 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"U9","FXAS21002C","TopLayer","SMD_QFN_24_4X4MM_7/5","1355.670","1345.314","180","3-Axis Digital Angular Rate  Gyroscope"
"U7","LTC4410ES6#PBF","TopLayer","LT-S6-6-TSOT-23_N","1055.001","790.000","0","USB Power Manager, 4.35 to 5.5 V Vin, 6-pin SOT23 (S6-6), -40 to 85 degC, Pb-Free"
"U8","LTC4053EMSE-4.2#PBF","TopLayer","LT-MSE-10-EDP-2060x1830TP_N","1150.001","1085.001","0","USB Compatible Lithium-Ion Battery Charger with Thermal Regulation, 4.25 to 6.5 V Vin, 10-pin SOP (MSE-10-EDP), -40 to 85 degC, Pb-Free"
"RESET1","KMR231GLFS","TopLayer","KMR231GLFS","1415.000","2120.000","180","Switch Tactile, SPST, 50 mA, 32 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"
"R14","CRCW040210K0FKEDHP","TopLayer","0402","715.001","260.000","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R2","CRCW040210K0FKEDHP","TopLayer","0402","150.000","2310.001","0","0.125W, -55-155C, 1005, 50V, ±1%"
"R8","CRCW0402560RFKEDHP","TopLayer","0402","195.000","1595.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R7","CRCW0402560RFKEDHP","TopLayer","0402","195.000","1520.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R4","CRCW04025K60FKEDHP","TopLayer","0402","160.001","1929.999","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R1","CRCW04025K60FKEDHP","TopLayer","0402","120.001","1929.999","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R31","CRCW040210K0FKED","TopLayer","0402","1219.685","1460.315","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R11","CRCW040210K0FKED","TopLayer","0402","415.000","980.000","0","0.125W, -55-155C, 1005, 50V, ±1%"
"R3","CRCW040210K0FKED","TopLayer","0402","140.000","850.000","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R12","CRCW040210K0FKED","TopLayer","0402","435.000","1025.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R10","CRCW040210K0FKED","TopLayer","0402","384.686","928.332","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R24","CRCW04025K60FKEDHP","TopLayer","0402","990.000","1600.001","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R21","CRCW04025K60FKEDHP","TopLayer","0402","915.001","1519.999","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R22","CRCW040210K0FKED","TopLayer","0402","955.000","700.000","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R15","CRCW04021M00FKEDHP","TopLayer","0402","755.001","106.377","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R16","CRCW040210K0FKED","TopLayer","0402","775.001","1124.999","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R38","CRCW040210K0FKED","TopLayer","0402","1420.000","1185.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R35","CRCW04023K40FKED","TopLayer","0402","1350.001","1024.999","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R19","CRCW040210K0FKED","TopLayer","0402","904.371","1290.630","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R34","CRCW04021M00FKEDHP","TopLayer","0402","1339.999","675.001","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R23","CRCW040233R0FKED","TopLayer","0402","955.001","328.190","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R20","CRCW040233R0FKED","TopLayer","0402","915.001","328.190","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R32","CRCW040210K0FKED","TopLayer","0402","1255.001","2004.999","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R26","CRCW040210K0FKED","TopLayer","0402","1169.686","1675.001","360","0.125W, -55-155C, 1005, 50V, ±1%"
"R27","CRCW040210K0FKED","TopLayer","0402","1170.000","1725.001","360","0.125W, -55-155C, 1005, 50V, ±1%"
"R41","CRCW040256R0FKED","TopLayer","0402","1520.001","1154.999","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R33","CRCW040210K0FKED","TopLayer","0402","1325.000","1985.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"R25","CRCW0402560RFKEDHP","TopLayer","0402","1135.001","535.000","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R29","CRCW0402100KFKED","TopLayer","0402","1175.001","535.000","90","0.125W, -55-155C, 1005, 50V, ±1%"
"R30","CRCW0402100KFKED","TopLayer","0402","1215.001","535.000","270","0.125W, -55-155C, 1005, 50V, ±1%"
"R40","CRCW0402560RFKEDHP","TopLayer","0402","1490.000","1975.001","0","0.125W, -55-155C, 1005, 50V, ±1%"
"R39","CRCW040210K0FKED","TopLayer","0402","1490.000","1935.001","180","0.125W, -55-155C, 1005, 50V, ±1%"
"Q1","IRLML6401","TopLayer","Micro3_N","1400.000","790.000","180","MOSFET P-CH 12V 4.3A SOT-23"
"J1","Header 3","TopLayer","HDR1X3","260.000","2400.000","180","Header, 3-Pin"
"J3","S2B-PH-SM4-TB","TopLayer","S2B-PH-SM4-TB","1370.000","220.748","0","JST Battery Connector"
"J4","M50-3600542","TopLayer","M50-3600542","1350.001","1675.001","360",""
"IND2","LTST-C171KSKT","TopLayer","0805","300.001","1595.001","360","LED"
"IND1","LTST-C171GKT","TopLayer","0805","300.001","1520.001","360","LED"
"C22","GRM155R71C103KA01D","TopLayer","0402","715.001","380.000","270","Cap, 0.01 µF, 16 V, X7R"
"C2","GRM155R71H102KA01J","TopLayer","0402","150.000","2270.001","180","-55-125C, 1005, 50V, X7R, ±10%"
"C32","GRM188R71A105KA61J","TopLayer","0603","1114.685","1410.315","90","-55-125C, 1608, 10V, X7R, ±10%"
"C35","GRM155R71A104KA01D","TopLayer","0402","1174.685","1385.315","270","-55-125C, 1005, 10V, X7R, ±10%"
"C34","GRM155R71A104KA01D","TopLayer","0402","1174.685","1280.315","90","-55-125C, 1005, 10V, X7R, ±10%"
"C33","GRM155R71A104KA01D","TopLayer","0402","1114.685","1310.315","270","-55-125C, 1005, 10V, X7R, ±10%"
"C13","GRM31CR71H475KA12L","TopLayer","1206","430.001","1145.001","90","-55-125C, 3216, 50V, X7R, ±10%"
"C11","GRM155R71A104KA01D","TopLayer","0402","355.001","1179.686","90","-55-125C, 1005, 10V, X7R, ±10%"
"C3","GRM155R71A104KA01D","TopLayer","0402","200.000","1190.001","180","-55-125C, 1005, 10V, X7R, ±10%"
"C1","GRM155R71A104KA01D","TopLayer","0402","120.001","1109.686","270","-55-125C, 1005, 10V, X7R, ±10%"
"C8","GRM155R71A104KA01D","TopLayer","0402","280.001","945.000","270","-55-125C, 1005, 10V, X7R, ±10%"
