Altium Designer Pick and Place Locations
C:\Users\dixonbr\Git\hubert\hardware\main\Project Outputs for 7797-20-0224\Pick Place for 7797-20-0224.txt

========================================================================================================================
File Design Information:

Date:       09/04/19
Time:       09:34
Revision:   68462ede65d18cdb3b97447aaa2422b53aaac289
Variant:    No variations
Units used: mil

Designator Comment                               Layer    Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                        
SW1        KMR231GLFS                            TopLayer KMR231GLFS                  210.000       2150.000      0        "Switch Tactile, SPST, 50 mA, 32 V, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                                                                                
C24        GRM155R71A104KA01D                    TopLayer 0402                        730.001       1496.999      270      "-55-125C, 1005, 10V, X7R, ±10%"                                                                                                                                                   
U6         TM4C123GH6PM                          TopLayer QFP50P1200X1200X160-64N     684.528       1929.409      270      "Tiva TM4C123GH6PM Microcontroller"                                                                                                                                                
USB        TP                                    TopLayer TP_TH                       790.001       430.000       90       ""                                                                                                                                                                                 
LDO        TP                                    TopLayer TP_TH                       150.001       1405.001      90       ""                                                                                                                                                                                 
GND        TP                                    TopLayer TP_TH                       150.001       1310.001      90       ""                                                                                                                                                                                 
BAT        TP                                    TopLayer TP_TH                       1230.001      465.000       90       ""                                                                                                                                                                                 
J1         47346-0001                            TopLayer MOLX-47346-0001-5_V         957.972       132.362       0        "Micro-USB B Receptacle with Flange, -30 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"                                                                                               
TP2        TP                                    TopLayer TP_TH                       1110.001      425.000       90       ""                                                                                                                                                                                 
TP1        TP                                    TopLayer TP_TH                       1110.001      320.000       90       ""                                                                                                                                                                                 
RS2        WSL1206R1000FEA                       TopLayer C1206                       1415.001      555.000       270      "Current Sense Resistors - SMD 1/4watt .1ohms 1%"                                                                                                                                  
RS1        WSL1206R1000FEA                       TopLayer C1206                       1020.001      371.497       270      "Current Sense Resistors - SMD 1/4watt .1ohms 1%"                                                                                                                                  
L1         MPZ1608S331A                          TopLayer 1608[0603]                  865.001       340.000       90       "EMI Filter Beads, Chips & Arrays 0603 330ohms 100MHz Rdc 0.08ohms 1.7A"                                                                                                           
